country,gasoline_2018
Venezuela,0
Libya,11
Sudan,13
Iran,29
Kuwait,35
Algeria,35
Brunei,38
Nigeria,40
Egypt,43
Turkmenistan,44
Kazakhstan,47
Angola,52
Malaysia,52
Bahrain,53
Saudi Arabia,54
Qatar,58
Oman,61
Myanmar,67
United Arab Emirates,67
Ethiopia,68
Tunisia,68
Russian Federation,68
DPR Korea,69
Bolivia,70
Belarus,70
Kyrgyzstan,70
Pakistan,74
Maldives,74
Ecuador,79
Panama,80
Haiti,82
Indonesia,83
Iraq,83
Yemen,85
Somaliland,85
Tajikistan,86
Afghanistan,86
Trinidad and Tobago,86
Uzbekistan,87
Botswana,87
Lebanon,88
United States,88
Azerbaijan,88
Chad,89
Guatemala,90
Puntland,90
Vietnam,91
Suriname,91
Mongolia,92
Niger,93
Sierra Leone,94
Togo,94
Bhutan,95
El Salvador,95
Sri Lanka,96
Georgia,96
Honduras,97
Lesotho,97
Taiwan,97
Philippines,98
Armenia,98
Nepal,99
Namibia,99
Benin,99
Canada,100
Colombia,101
Republic Congo,102
Nicaragua,102
Liberia,103
Tanzania,104
Mexico,104
Argentina,105
Bangladesh,107
India,107
Cambodia,107
Fiji,107
Cameroon,108
Thailand,109
Ivory Coast,110
Solomon Islands,110
Guinea,111
Gambia,112
Moldova,112
Paraguay,113
Kenya,113
Samoa,113
Guyana,113
Costa Rica,114
Uganda,114
Gabon,115
Mozambique,115
Burkina Faso,116
Australia,116
Ukraine,116
Papua New Guinea,116
Madagascar,117
Morocco,118
"China, P.R.",118
Ghana,118
South Africa,118
Senegal,119
Mauritania,121
Turkey,122
Macedonia,123
Dominican Republic,123
Chile,123
Mali,124
Brazil,125
Bulgaria,126
Tonga,126
Malawi,129
Japan,129
Peru,129
Lao PDR,129
Rwanda,130
Grenada,130
Andorra,130
Hungary,131
Romania,131
Tahiti (French Polynesia),132
Lithuania,133
Poland,133
Bosnia and Herzegovina,133
DR Congo,135
Zambia,135
Luxembourg,135
Kosovo,135
Cape Verde,135
Burundi,136
Zimbabwe,138
Marshall Islands,140
Czech Republic,141
Belize,141
Latvia,145
Austria,146
South Cyprus,146
Spain,147
Seychelles,147
Slovenia,148
Serbia,148
Mauritius,148
Croatia,149
Somalia,150
Singapore,150
Republic Korea,150
Montenegro,150
Jordan,150
Estonia,151
Malta,153
Slovakia,153
New Zealand,154
Sweden,162
Denmark,164
Belgium,164
Ireland,164
Switzerland,166
Albania,166
Liechtenstein,166
United Kingdom,167
France,168
Germany,168
Uruguay,169
Djibouti,169
Palestine,171
Finland,172
Greece,175
Israel,176
Portugal,176
Niue,178
Italy,184
Iceland,185
Monaco,185
Netherlands,190
Norway,196
Eritrea,200
Hong Kong,209
Aruba,107
Barbados,107
Cyprus,139
Guinea-Bissau,110
Jamaica,127
Syria,68
The Bahamas,107
