Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,Urban population,SP.URB.TOTL,11165011
Albania,ALB,Urban population,SP.URB.TOTL,1773980
Algeria,DZA,Urban population,SP.URB.TOTL,34746884
American Samoa,ASM,Urban population,SP.URB.TOTL,41455
Andorra,AND,Urban population,SP.URB.TOTL,70971
Angola,AGO,Urban population,SP.URB.TOTL,25242775
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,22706
Argentina,ARG,Urban population,SP.URB.TOTL,42106172
Armenia,ARM,Urban population,SP.URB.TOTL,1906370
Aruba,ABW,Urban population,SP.URB.TOTL,47511
Australia,AUS,Urban population,SP.URB.TOTL,23091181
Austria,AUT,Urban population,SP.URB.TOTL,5436137
Azerbaijan,AZE,Urban population,SP.URB.TOTL,5846344
"Bahamas, The",BHS,Urban population,SP.URB.TOTL,334032
Bahrain,BHR,Urban population,SP.URB.TOTL,1417287
Bangladesh,BGD,Urban population,SP.URB.TOTL,69397835
Barbados,BRB,Urban population,SP.URB.TOTL,88724
Belarus,BLR,Urban population,SP.URB.TOTL,7409732
Belgium,BEL,Urban population,SP.URB.TOTL,11573953
Belize,BLZ,Urban population,SP.URB.TOTL,191608
Benin,BEN,Urban population,SP.URB.TOTL,7069628
Bermuda,BMU,Urban population,SP.URB.TOTL,64698
Bhutan,BTN,Urban population,SP.URB.TOTL,348762
Bolivia,BOL,Urban population,SP.URB.TOTL,8716127
Bosnia and Herzegovina,BIH,Urban population,SP.URB.TOTL,1601104
Botswana,BWA,Urban population,SP.URB.TOTL,1807279
Brazil,BRA,Urban population,SP.URB.TOTL,185356223
British Virgin Islands,VGB,Urban population,SP.URB.TOTL,19394
Brunei Darussalam,BRN,Urban population,SP.URB.TOTL,363254
Bulgaria,BGR,Urban population,SP.URB.TOTL,4944604
Burkina Faso,BFA,Urban population,SP.URB.TOTL,7487982
Burundi,BDI,Urban population,SP.URB.TOTL,2023848
Cabo Verde,CPV,Urban population,SP.URB.TOTL,355091
Cambodia,KHM,Urban population,SP.URB.TOTL,4455286
Cameroon,CMR,Urban population,SP.URB.TOTL,16829259
Canada,CAN,Urban population,SP.URB.TOTL,32824829
Cayman Islands,CYM,Urban population,SP.URB.TOTL,73038
Central African Republic,CAF,Urban population,SP.URB.TOTL,2247177
Chad,TCD,Urban population,SP.URB.TOTL,4707283
Channel Islands,CHI,Urban population,SP.URB.TOTL,52251
Chile,CHL,Urban population,SP.URB.TOTL,17302134
